datetime,ES42,ES51,ES52,ES43,Total
2022-01-01 00:00:00+01:00,1003.41,3032.81,1063.94,2017.13,7117.29
2022-02-01 00:00:00+01:00,1003.41,3032.81,1063.94,2017.13,7117.29
2022-03-01 00:00:00+01:00,1003.41,3032.81,1063.94,2017.13,7117.29
2022-04-01 00:00:00+02:00,1003.41,3032.81,1063.94,2017.13,7117.29
2022-05-01 00:00:00+02:00,1003.41,3032.81,1063.94,2017.13,7117.29
2022-06-01 00:00:00+02:00,1003.41,3032.81,1063.94,2017.13,7117.29
2022-07-01 00:00:00+02:00,1003.41,3032.81,1063.94,2017.13,7117.29
2022-08-01 00:00:00+02:00,1003.41,3032.81,1063.94,2017.13,7117.29
2022-09-01 00:00:00+02:00,1003.41,3032.81,1063.94,2017.13,7117.29
2022-10-01 00:00:00+02:00,1003.41,3032.81,1063.94,2017.13,7117.29
2022-11-01 00:00:00+01:00,1003.41,3032.81,1063.94,2017.13,7117.29
2022-12-01 00:00:00+01:00,1003.41,3032.81,1063.94,2017.13,7117.29
