id,build_year,p_nom,carrier,lat,lon,Country,status,on_land
1,2025.0,2.5,H2 electrolysis,51.7033128995464,4.16253562875509,NL,FID/Construction,True
2,2030.0,26.0,H2 electrolysis,51.7033128995464,4.16253562875509,NL,Concept,True
3,2022.0,2.5,H2 electrolysis,39.7185189541585,2.86960178408616,ES,Operational,True
4,2020.0,2.0,H2 electrolysis,47.4213266597849,9.37471140069694,CH,Operational,True
5,2020.0,1.3,H2 electrolysis,48.5855970920068,8.95827602188521,DE,Operational,True
6,2020.0,1.125,H2 electrolysis,54.7451591701625,8.57517039921521,DE,Operational,True
7,2019.0,1.0,H2 electrolysis,59.0199905695718,-2.98913603497804,GB,Operational,False
8,2020.0,1.3,H2 electrolysis,47.539892415871,7.71235351615059,DE,Operational,True
9,2020.0,1.0,H2 electrolysis,54.7267065251096,9.34759128465099,DE,Operational,True
10,2019.0,0.276,H2 electrolysis,58.0592699077098,12.8168370826241,SE,Operational,True
12,2019.0,2.4,H2 electrolysis,53.9122420858375,9.13196747017375,DE,Operational,True
13,2020.0,1.5,H2 electrolysis,56.6394192071214,9.79841809008519,DK,Operational,True
14,2017.0,0.7,H2 electrolysis,63.3432724721887,10.3733299991462,NO,Operational,True
15,2017.0,0.7,H2 electrolysis,59.1649150969301,-2.78835603880386,GB,Operational,True
16,2018.0,0.225,H2 electrolysis,54.7267065251096,9.34759128465099,DE,Operational,True
17,2015.0,1.0,H2 electrolysis,53.7119212461696,13.2916374636138,DE,Operational,True
18,2015.0,0.3,H2 electrolysis,50.7312748594555,4.21926738062468,BE,Operational,True
19,2014.0,0.5,H2 electrolysis,52.3699921358899,13.5242988316558,DE,Operational,True
20,2013.0,2.0,H2 electrolysis,53.2003105413885,12.2351124180165,DE,Operational,True
21,2025.0,20.0,H2 electrolysis,55.591385038419,9.75264367456355,DK,Operational,True
22,2013.0,0.04,H2 electrolysis,53.8232597278847,9.28943551887401,DE,Operational,True
23,2017.0,6.0,H2 electrolysis,49.9962107275021,8.24526901763009,DE,Operational,True
24,2021.0,0.025,H2 electrolysis,41.373416878096,23.4419511219338,GR,DEMO,True
26,2026.0,25.0,H2 electrolysis,51.3223317850662,3.20870467310706,BE,FID/Construction,True
27,2021.0,2.5,H2 electrolysis,70.7651749470771,29.083687261382,NO,Operational,True
28,2022.0,2.0,H2 electrolysis,55.6255437,12.4550501,DK,Operational,True
29,2026.0,45.0,H2 electrolysis,66.310371,14.169271,NO,Feasibility study,True
30,2016.0,0.37,H2 electrolysis,56.1769692520123,-3.01742926288249,GB,Operational,True
31,2021.0,3.0,H2 electrolysis,52.4624162755625,-1.8405931,GB,Operational,True
32,2025.0,1.0,H2 electrolysis,54.9745554419954,-6.4300041,GB,FID/Construction,True
33,2029.0,20.0,H2 electrolysis,51.0409778907728,3.84433114911818,BE,Feasibility study,True
35,2029.0,100.0,H2 electrolysis,53.4173183608964,6.45003544898209,NL,Feasibility study,True
36,2027.0,35.0,H2 electrolysis,41.5351238477826,-0.891003207720106,ES,Feasibility study,True
37,2027.0,50.0,H2 electrolysis,53.4391204300336,6.83653040082158,NL,Feasibility study,True
38,2027.0,10.0,H2 electrolysis,52.3661016838894,5.03477403347359,NL,Feasibility study,True
39,2030.0,95.0,H2 electrolysis,51.376054,5.461407,NL,Feasibility study,True
40,2021.0,0.75,H2 electrolysis,46.9363159229428,-2.06992707672759,FR,Operational,True
41,2022.0,1.0,H2 electrolysis,47.6585099871112,-2.76374994701691,FR,Operational,True
42,2026.0,20.0,H2 electrolysis,43.457355,-7.947904,ES,Feasibility study,True
43,2026.0,20.0,H2 electrolysis,41.0677111323881,-8.45970034603064,PT,Feasibility study,True
