,bus0,bus1,length,v_nom,num_parallel,project_status,build_year,tags,x0,y0,x1,y1,type,underground
TYNDP2024_269,Portile de Fier (RO),Resita (RO),116.0,400.0,,under_construction,2024,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/269"""", """"tyndp2024_invest_id""""=>""""269""""""",21.99993,45.310033,22.575503,44.71403,,False
TYNDP2024_382,Vilnius,Neris,80.7,330.0,,under_construction,2025,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/382"""", """"tyndp2024_invest_id""""=>""""382""""""",25.09346,54.600935,25.416183,54.857073,,False
TYNDP2024_1010,Tartu (EE),Valmiera (LV),133.0,330.0,,commissioned,2025,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1010"""", """"tyndp2024_invest_id""""=>""""1010""""""",26.686106,58.380599,25.443735,57.524427,,False
TYNDP2024_1011,Tsirguliina (EE),Valmiera (LV),60.0,330.0,,under_construction,2024,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1011"""", """"tyndp2024_invest_id""""=>""""1011""""""",26.20049,57.869593,25.439379,57.521969,,False
TYNDP2024_1012,Balti,Tartu,132.0,330.0,,commissioned,2023,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1012"""", """"tyndp2024_invest_id""""=>""""1012""""""",26.68637,58.378319,27.521728,59.34562,,False
TYNDP2024_1013,Viru,Tsirguliina ,244.0,330.0,,under_construction,2025,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1013"""", """"tyndp2024_invest_id""""=>""""1013""""""",27.902842,59.27243,26.20049,57.869349,,False
TYNDP2024_1034,Gižai,Elk Bis,330.0,220.0,,in_planning,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1034"""", """"tyndp2024_invest_id""""=>""""1034""""""",21.676025,53.124989,23.433838,54.538265,,False
TYNDP2024_1565,Lietuvos E,Vilnius,40.9,330.0,,commissioned,2020,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1565"""", """"tyndp2024_invest_id""""=>""""1565""""""",24.638901,54.771715,25.092087,54.601837,,False
TYNDP2024_1634,KHAE,Bitenai,211.0,330.0,,under_construction,2025,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1634"""", """"tyndp2024_invest_id""""=>""""1634""""""",22.247314,55.09723,22.82959,54.501948,,False
TYNDP2024_1659,Darbenai,Bitenai,137.0,330.0,,under_construction,2025,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1659"""", """"tyndp2024_invest_id""""=>""""1659""""""",21.299744,56.029957,22.07428,55.079258,,False
TYNDP2024_1661,Dunowo,Zydowo Kierzkowo,57.11,400.0,,under_construction,2027,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1661"""", """"tyndp2024_invest_id""""=>""""1661""""""",16.113373,54.132319,16.632477,54.011449,,False
