,bus0,bus1,length,p_nom,project_status,build_year,tags,x0,y0,x1,y1,underground
TYNDP2024_1407,Hadera Site,Kofinou Site,325.0,1040.0,under_construction,2029,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1407"""", """"tyndp2024_invest_id""""=>""""1407""""""",33.430939,34.792169,34.887645,32.509504,False
TYNDP2024_1409,Kofinou Site,Korakia (Crete)Site,921.0,1000.0,under_construction,2029,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1409"""", """"tyndp2024_invest_id""""=>""""1409""""""",24.887645,35.417655,33.43623,34.771449,False
TYNDP2024_664,"Brunsbüttel, Wilster","Großgartach, Bergrheinfeld West",1250.0,4000.0,in_permitting,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/664"""", """"tyndp2024_invest_id""""=>""""664""""""",9.062952,49.155389,9.334328,53.893473,False
TYNDP2024_1381,Lovedean (GB),Barnabos (FR),240.0,2075.0,in_permitting,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1381"""", """"tyndp2024_invest_id""""=>""""1381""""""",-1.052891,50.899893,1.114934,49.712215,False
TYNDP2024_660,Osterath (DE),Philippsburg (DE),342.0,2000.0,in_permitting,2026,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/660"""", """"tyndp2024_invest_id""""=>""""660""""""",8.41228,49.203626,6.681305,50.994449,False
TYNDP2024_1383,Kingsnorth (UK),"Warande (Gravelines, France)",158.0,1400.0,in_permitting,2025,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1383"""", """"tyndp2024_invest_id""""=>""""1383""""""",0.610085,51.41955,2.204132,50.966211,False
TYNDP2024_1458,Codrongianos - Lucciana,Suvereto ,410.0,400.0,under_construction,2027,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1458"""", """"tyndp2024_invest_id""""=>""""1458""""""",9.223462,41.136469,10.635974,43.038623,False
TYNDP2024_1628,Grain West 400kV Substation,Fedderwarden 380kV Substation,720.0,1400.0,under_construction,2026,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1628"""", """"tyndp2024_invest_id""""=>""""1628""""""",0.89209,51.341594,7.989258,53.602937,False
TYNDP2024_1638,Bodelwyddan,Maynooth,245.0,750.0,in_permitting,2029,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1638"""", """"tyndp2024_invest_id""""=>""""1638""""""",-6.546789,53.362026,-3.573459,53.216107,False
TYNDP2024_1682,Wadi El Natroon,Mesogeia / St Stefanos,954.0,3000.0,under_consideration,2029,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1682"""", """"tyndp2024_invest_id""""=>""""1682""""""",30.304756,30.599798,23.738194,38.109573,False
TYNDP2024_1709,Atherinolakkos (Crete),Mersa Matruh (Egypt),450.0,600.0,under_consideration,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1709"""", """"tyndp2024_invest_id""""=>""""1709""""""",26.112785,35.021,27.101555,31.25977,False
TYNDP2024_1707,"East Anglia, connection node 400kV Substation","Niederlangen, Germany",610.0,1400.0,under_consideration,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1707"""", """"tyndp2024_invest_id""""=>""""1707""""""",0.950317,51.917168,7.443237,53.021392,False
TYNDP2024_1717,Damasta,Koumoundouros,373.0,1000.0,under_construction,2024,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1717"""", """"tyndp2024_invest_id""""=>""""1717""""""",23.627266,37.999031,25.02356,35.293159,False
TYNDP2024_1793,Solhøjgård (DKE),Bornholm Energy Island (BEI),229.0,1200.0,under_consideration,2029,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1793"""", """"tyndp2024_invest_id""""=>""""1793""""""",12.161865,55.481837,13.582763,54.105441,False
TYNDP2024_1945,Annaba (Algeria) - new,La Spezia (Italy)  - existing,940.0,2000.0,under_consideration,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1945"""", """"tyndp2024_invest_id""""=>""""1945""""""",8.085938,36.897194,9.953613,44.119142,False
TYNDP2024_1946,Marsa Dhib (Tunisia) - New,Suvereto (Italy) - Existing,590.0,2000.0,under_consideration,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1946"""", """"tyndp2024_invest_id""""=>""""1946""""""",9.42627,37.282795,10.700684,42.940339,False
TYNDP2024_1986,Arad,Albertirsa,238.0,2500.0,under_consideration,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1986"""", """"tyndp2024_invest_id""""=>""""1986""""""",19.731445,47.219568,21.357422,46.149394,False
TYNDP2024_1987,Arad,Constanta South,830.0,2500.0,under_consideration,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1987"""", """"tyndp2024_invest_id""""=>""""1987""""""",21.51123,46.126556,28.509521,44.032321,False
TYNDP2024_2003,Arad,Bucharest South,586.0,2500.0,under_consideration,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/2003"""", """"tyndp2024_invest_id""""=>""""2003""""""",21.434326,46.122749,25.64209,44.465151,False
TYNDP2024_2008,Bucharest South,Constanta South,344.0,2500.0,under_consideration,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/2008"""", """"tyndp2024_invest_id""""=>""""2008""""""",25.675049,44.44861,28.526001,44.015657,False
