Bus,busmap
GB1-220,GBM6
GB10-275,GBM7
GB11-275,GBM7
GB12-275,GBM7
GB13-400,GBM7
GB14-400,GBM8
GB15-275,GBM9
GB16-400,GBC2
GB17-275,GBC1
GB18-400,GBD4
GB19-220,GBD1
GB2-220,GBM6
GB20-400,GBD4
GB21-220,GBE1
GB22-400,GBD4
GB23-275,GBE2
GB24-220,GBH1
GB25-400,GBE4
GB26-275,GBE4
GB27-400,GBD4
GB28-275,GBE4
GB29-275,GBD3
GB3-220,GBM6
GB30-400,GBE1
GB31-400,GBE3
GB32-400,GBE1
GB33-400,GBE4
GB34-400,GBE4
GB35-400,GBE1
GB36-400,GBE3
GB37-275,GBE3
GB38-220,GBF3
GB39-400,GBF1
GB4-220,GBM6
GB40-275,GBD3
GB41-275,GBE3
GB42-275,GBE3
GB43-400,GBD7
GB44-275,GBD6
GB46-220,GBH1
GB47-400,GBL1
GB48-400,GBL1
GB49-400,GBL1
GB5-220,GBM6
GB50-400,GBL2
GB51-400,GBF1
GB52-400,GBF3
GB53-400,GBF1
GB54-400,GBG2
GB55-275,GBG2
GB56-400,GBG2
GB57-400,GBG2
GB58-275,GBG3
GB59-275,GBG1
GB6-220,GBM5
GB60-275,GBG1
GB61-275,GBG1
GB62-220,GBH1
GB63-400,GBH3
GB64-220,GBH1
GB65-400,GBK1
GB66-275,GBL2
GB68-275,GBL2
GB69-400,GBH3
GB7-275,GBM5
GB71-275,GBL2
GB72-400,GBI3
GB73-400,GBJ4
GB74-275,GBI5
GB74-400,GBI5
GB75-400,GBJ4
GB76-275,GBI6
GB78-400,GBI6
GB79-400,GBI6
GB8-220,GBM5
GB81-400,GBK2
GB82-275,GBJ4
GB83-400,GBJ3
GB9-275,GBM7
relation/10377509-400,GBM9
relation/10695345,GBJ4
relation/10695345-400,GBJ4
relation/10925187-275,GBE4
relation/11051275-400,GBD1
relation/11543333-400,GBC1
relation/12543034-275,GBL1
relation/13110367-400,GBL1
relation/13110368-275,GBF1
relation/13110368-400,GBF1
relation/13110369-400,GBF1
relation/13186702-275,GBL2
relation/14921826-275,GBD1
relation/14921826-400,GBD1
relation/2452471-275,GBM7
relation/7650368-400,GBH2
relation/7872518-400,GBH3
relation/7879831-275,GBL1
relation/7879831-400,GBL1
relation/7880111-275,GBJ2
relation/7880111-400,GBJ2
relation/7881280-400,GBE1
relation/7886014-400,GBG2
relation/7894457-275,GBD3
relation/7894457-400,GBD3
relation/7894483-400,GBD4
relation/7894974-275,GBM9
relation/7894974-400,GBM9
relation/7894975-275,GBD4
relation/7894975-400,GBD4
relation/7896785-275,GBG3
relation/8087295-275,GBM6
relation/9409219-400,GBJ3
relation/9572254-400,GBK3
relation/9598269-275,GBD3
relation/9598269-400,GBD3
way/100009331-400,GBK4
way/100077745-275,GBM9
way/100077745-400,GBM9
way/100773252-400,GBH3
way/101077623-275,GBE3
way/101077623-400,GBE3
way/101312018-275,GBE3
way/101365758-275,GBL2
way/102198808-400,GBM9
way/102549055-275,GBI5
way/102549055-400,GBI5
way/103150854-400,GBH3
way/103829261-400,GBJ4
way/103915328-275,GBK1
way/103915328-400,GBK1
way/1049638569-400,GBK2
way/105304263-275,GBM7
way/1078532568,GBF3
way/1078532568-400,GBF3
way/1087785232-400,GBK1
way/109073025-275,GBM8
way/109189896,GBJ4
way/109463536-275,GBE2
way/109730296-275,GBC1
way/109730296-400,GBC1
way/1097582201-400,GBE3
way/111528318-220,GBM7
way/111528318-275,GBM7
way/111550033-400,GBM7
way/1120475588-275,GBI6
way/1120475588-400,GBI6
way/115277975-275,GBM6
way/1153252242-275,GBD7
way/115530033-400,GBJ1
way/115887437-275,GBE3
way/116539370-275,GBE3
way/1185489725-220,GBM6
way/1185489725-400,GBM6
way/118821349-275,GBM5
way/118821349-400,GBM5
way/1190395478-220,GBM5
way/1190395478-400,GBM5
way/119315534-275,GBM8
way/119315549-275,GBM9
way/119315557-275,GBM9
way/119616836-400,GBK2
way/1214332448-275,GBL1
way/121820285-275,GBL1
way/123037622-275,GBL1
way/123129049-275,GBM7
way/123866712-275,GBE3
way/1252341626-275,GBM7
way/125860302-275,GBM9
way/1262971878,GBM6
way/1262971878-275,GBM6
way/1263095953-400,GBM6
way/127045977-275,GBM6
way/127184694-400,GBG2
way/1274396508-400,GBL2
way/1275300370-275,GBJ4
way/1275300370-400,GBJ4
way/1297690788-275,GBC1
way/1307462736-275,GBM8
way/133323988-275,GBM5
way/133323988-400,GBM5
way/135693940-275,GBD3
way/137050527,GBN0
way/137050527-275,GBN0
way/142185552-275,GBN0
way/142397822-400,GBC1
way/142741752-400,GBG2
way/142841192-275,GBE4
way/142841192-400,GBE4
way/142845284-400,GBL1
way/143105488-275,GBM9
way/143110887-275,GBM9
way/143221984-275,GBC2
way/143383456-400,GBM9
way/143388743-275,GBM9
way/143398451-275,GBM8
way/143398451-400,GBM8
way/143783006-400,GBJ4
way/143905069-275,GBF1
way/143905069-400,GBF1
way/147475796-275,GBE3
way/148266260-275,GBN0
way/148382435,GBM9
way/148382435-275,GBM9
way/153884024-275,GBD7
way/159038999-400,GBE3
way/159736514-275,GBE3
way/159736514-400,GBE3
way/160279525-400,GBE1
way/160580052-400,GBE2
way/160616357-275,GBE3
way/162124572-275,GBM8
way/163036722-275,GBD3
way/163036722-400,GBD3
way/164380199-275,GBE4
way/16582436-400,GBJ4
way/166703758-275,GBM8
way/166703759-275,GBM8
way/166703764-275,GBM9
way/166703766-220,GBM6
way/166703766-275,GBM6
way/166703766-400,GBM6
way/166764802-275,GBN0
way/167621580-275,GBG3
way/167621580-400,GBG3
way/183904046-275,GBC2
way/184584639-275,GBC2
way/186747788-275,GBE2
way/190511290-400,GBF3
way/193617444-275,GBE4
way/193617444-400,GBE4
way/200511209-275,GBC1
way/200511209-400,GBC1
way/200635683-275,GBC2
way/203880168-275,GBG3
way/20851038-400,GBJ3
way/209404646-400,GBE2
way/211549457-275,GBE3
way/212779654-275,GBM8
way/212779654-400,GBM8
way/222205173-275,GBM8
way/222987687-275,GBL2
way/227495569-275,GBC1
way/227589012-400,GBI4
way/227767019-275,GBN0
way/227767022-275,GBN0
way/22975329-275,GBH3
way/22975329-400,GBH3
way/230134599-275,GBN0
way/23059230-400,GBJ1
way/23059268-275,GBE3
way/23132983-275,GBI4
way/23164132-275,GBD6
way/23164132-400,GBD6
way/23164256-275,GBD6
way/23164256-400,GBD6
way/23228362-400,GBI4
way/23228569-275,GBI5
way/23229136-275,GBI5
way/232319495-275,GBM6
way/23232738-275,GBJ1
way/23232738-400,GBJ1
way/23234477-275,GBH2
way/23248656-275,GBJ2
way/23281217,GBJ4
way/23281217-400,GBJ4
way/23299362-275,GBI6
way/23299362-400,GBI6
way/23299657-275,GBI6
way/23299657-400,GBI6
way/23390317-275,GBI6
way/239248206-400,GBM6
way/23988786-400,GBJ3
way/241491759-275,GBM5
way/24165071-400,GBH2
way/25422135-220,GBH1
way/25422135-400,GBH1
way/25492769-275,GBE4
way/25629803-400,GBE1
way/257311344-400,GBE1
way/25784732-275,GBG3
way/25935453-400,GBH1
way/260300448-275,GBM9
way/262523325-400,GBM7
way/262532045-400,GBM9
way/263863442-400,GBJ1
way/264102298-275,GBJ4
way/264102298-400,GBJ4
way/264104518-400,GBJ4
way/264371625-275,GBI5
way/26678829-400,GBK4
way/26938722-400,GBK4
way/27163121-275,GBM7
way/27163121-400,GBM7
way/27332350-275,GBM7
way/280317944-220,GBL1
way/280317944-400,GBL1
way/28194931-275,GBG3
way/284874050-275,GBM9
way/284874050-400,GBM9
way/28691559-400,GBJ2
way/29111844-400,GBH3
way/292371992-275,GBK2
way/292371992-400,GBK2
way/292471784-400,GBK1
way/295657862-275,GBL1
way/297840585,GBM9
way/297840585-220,GBM9
way/297840585-400,GBM9
way/306451400-275,GBM6
way/307717807-275,GBM6
way/307769998-275,GBM6
way/308653819-275,GBM9
way/308724683-275,GBM8
way/308724719-275,GBM8
way/308802191-275,GBM9
way/30930911-275,GBD7
way/31015820-275,GBI3
way/31015820-400,GBI3
way/310495264-400,GBD4
way/310502642-275,GBC2
way/310502642-400,GBC2
way/311840838-275,GBC1
way/313180501-400,GBE1
way/313495269-400,GBE2
way/314338790-400,GBF1
way/315213320-275,GBD6
way/31545125-275,GBG3
way/31545125-400,GBG3
way/32075668-275,GBM7
way/32227788-400,GBH1
way/32342648-275,GBM7
way/32604320-275,GBI5
way/32604320-400,GBI5
way/32796576-400,GBJ3
way/335589232-275,GBM9
way/339008021-275,GBN0
way/33917128-275,GBE1
way/33917128-400,GBE1
way/34205588-400,GBK4
way/34656007-400,GBK3
way/367005272-275,GBD7
way/371757485-275,GBI4
way/371757485-400,GBI4
way/375626500,GBL2
way/375626500-400,GBL2
way/376450057-400,GBF3
way/402783212-275,GBN0
way/40685663-275,GBM7
way/41710456-400,GBJ1
way/422486984-275,GBM7
way/422486984-400,GBM7
way/42800878-400,GBL2
way/43303585-275,GBC1
way/43303585-400,GBC1
way/433545528-220,GBL1
way/43472283-275,GBC1
way/43472283-400,GBC1
way/447297184-275,GBI4
way/447301159-400,GBI4
way/45087479-275,GBK1
way/4715504-400,GBJ3
way/472164401-400,GBF1
way/472289073-275,GBM9
way/4746208-275,GBH2
way/4746208-400,GBH2
way/4797228-275,GBI7
way/48876730-275,GBK2
way/48876730-400,GBK2
way/494951597-400,GBH3
way/49499923-275,GBG1
way/49499923-400,GBG1
way/495512689-400,GBM7
way/495512692-400,GBM7
way/495624575-275,GBM6
way/49601061-400,GBI7
way/49922626-400,GBK2
way/533670766-400,GBI4
way/536905500,GBL2
way/536905500-400,GBL2
way/55284068-275,GBG3
way/553490952-400,GBL1
way/567187951-275,GBM6
way/568527671,GBM6
way/576238223-400,GBH1
way/59736773-275,GBM7
way/624256368-275,GBM6
way/630939126-275,GBM6
way/635226843-400,GBF3
way/635713005-220,GBD7
way/635829123-220,GBH1
way/635829123-400,GBH1
way/635836276-275,GBE1
way/636630368,GBJ3
way/636630368-400,GBJ3
way/636630371-400,GBJ3
way/642490160,GBC2
way/65482882-275,GBM7
way/65482882-400,GBM7
way/676646876-400,GBM9
way/676775628-275,GBM9
way/677510482-275,GBM9
way/677513264-220,GBM6
way/677845115-400,GBK4
way/681875115-400,GBJ3
way/68515955-275,GBM6
way/68515955-400,GBM6
way/689624522-275,GBM6
way/689626274-400,GBM6
way/701436399-220,GBE1
way/701436399-400,GBE1
way/71118225-400,GBF1
way/730870685-275,GBM7
way/762272690-275,GBM6
way/76468460-275,GBM7
way/77065229-400,GBH2
way/775577829,GBJ4
way/775577829-400,GBJ4
way/778717371-275,GBM6
way/785730495-275,GBE3
way/785730495-400,GBE3
way/796648851-275,GBE3
way/81098733-275,GBD4
way/814351697-400,GBJ4
way/820229174-275,GBM6
way/820237569-400,GBM5
way/842685465-275,GBM5
way/84803250-275,GBL2
way/86071326-275,GBM8
way/86071326-400,GBM8
way/87204522-275,GBF1
way/87204522-400,GBF1
way/87207123-400,GBG2
way/87464485-400,GBH2
way/87953830-400,GBJ4
way/88287125-400,GBF2
way/88389243-400,GBJ3
way/884174267-275,GBL2
way/884174267-400,GBL2
way/89038614-400,GBH2
way/89427607-400,GBL1
way/89453364-400,GBH2
way/895564309-220,GBF3
way/895564309-400,GBF3
way/89573357-275,GBL1
way/89573357-400,GBL1
way/89573358-400,GBL1
way/89699558-275,GBM7
way/89836009-275,GBM7
way/90099036-400,GBK2
way/90125443-400,GBE2
way/90534270-400,GBF2
way/90539508-400,GBE3
way/90547674-275,GBE2
way/90547674-400,GBE2
way/90547685-275,GBE3
way/91003253-400,GBF1
way/91010022-400,GBJ4
way/91010711-400,GBJ4
way/91056548-400,GBM8
way/91082448-400,GBJ2
way/91955171-275,GBC2
way/91955171-400,GBC2
way/92221420-275,GBG3
way/92260633-275,GBG3
way/92331023-275,GBF1
way/92340133-400,GBJ1
way/92419253-275,GBD6
way/92419253-400,GBD6
way/92458761-275,GBG2
way/92458761-400,GBG2
way/92460913-400,GBK1
way/925179651-400,GBH3
way/92529432-275,GBD3
way/92529432-400,GBD3
way/92737152-275,GBD3
way/93299730-400,GBI3
way/93878867-275,GBD3
way/94004582-220,GBD4
