Bus,busmap
AL1-220,AL01
AL10-220,AL03
AL2-220,AL01
AL3-400,AL01
AL4-220,AL01
AL6-220,AL02
AL6-400,AL02
AL7-220,AL03
AL8-400,AL03
AL9-220,AL03
AT1-220,AT12
AT10-220,AT32
AT11-220,AT33
AT12-380,AT11
AT13-380,AT22
AT14-380,AT32
AT15-220,AT33
AT16-220,AT22
AT17-380,AT22
AT18-220,AT34
AT19-220,AT21
AT2-380,AT12
AT20-220,AT21
AT3-380,AT31
AT4-220,AT12
AT5-380,AT12
AT6-380,AT12
AT7-220,AT12
AT8-220,AT11
AT9-220,AT32
BA1-220,BASRP
BA10-220,BABIH
BA11-220,BABIH
BA12-220,BABIH
BA13-400,BASRP
BA14-220,BASRP
BA15-220,BASRP
BA15-400,BASRP
BA16-220,BABIH
BA17-220,BABIH
BA18-220,BABIH
BA19-220,BABIH
BA2-400,BASRP
BA20-220,BABIH
BA21-220,BABIH
BA22-220,BABIH
BA23-220,BABIH
BA24-400,BASRP
BA25-220,BABIH
BA26-220,BASRP
BA3-220,BABIH
BA4-220,BABIH
BA4-400,BABIH
BA5-220,BASRP
BA5-400,BASRP
BA6-220,BABIH
BA7-220,BABIH
BA8-220,BABIH
BA9-220,BABIH
BE1-220,BE25
BE10-380,BE24
BE13-220,BE33
BE14-380,BE35
BE15-380,BE32
BE16-380,BE32
BE17-220,BE34
BE2-220,BE25
BE3-220,BE25
BE4-220,BE25
BE5-380,BE21
BE6-380,BE23
BE7-380,BE22
BE8-380,BE22
BE9-380,BE22
BG1-400,BG31
BG10-220,BG31
BG10-400,BG31
BG11-400,BG31
BG12-400,BG33
BG13-400,BG33
BG14-220,BG31
BG15-400,BG33
BG16-400,BG33
BG17-400,BG33
BG18-400,BG31
BG19-400,BG31
BG2-220,BG31
BG20-400,BG33
BG21-220,BG32
BG22-220,BG32
BG23-220,BG32
BG24-220,BG32
BG25-220,BG32
BG26-400,BG41
BG27-400,BG41
BG28-400,BG41
BG29-400,BG41
BG3-220,BG31
BG3-400,BG31
BG30-400,BG34
BG31-400,BG34
BG32-400,BG41
BG33-400,BG41
BG34-400,BG41
BG35-400,BG41
BG36-400,BG41
BG37-400,BG41
BG38-220,BG32
BG39-220,BG34
BG4-400,BG31
BG40-220,BG41
BG41-220,BG41
BG42-220,BG41
BG43-220,BG41
BG44-220,BG34
BG45-220,BG34
BG46-220,BG34
BG47-220,BG34
BG48-400,BG41
BG49-220,BG34
BG5-400,BG31
BG50-220,BG34
BG51-400,BG41
BG52-400,BG41
BG53-400,BG41
BG54-400,BG34
BG55-220,BG34
BG57-220,BG34
BG57-400,BG34
BG58-400,BG42
BG6-400,BG31
BG60-400,BG41
BG61-220,BG42
BG62-400,BG41
BG63-400,BG42
BG64-400,BG34
BG65-400,BG34
BG66-400,BG34
