,project_status,length,build_year,underground,p_nom,tags,x0,y0,x1,y1,bus0,bus1
TYNDP2024_1682,under_consideration,954.0,2029,False,3000,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1682"""", """"tyndp2024_invest_id""""=>""""1682""""""",30.304756,30.599798,23.738194,38.109573,Wadi El Natroon,Mesogeia / St Stefanos
TYNDP2024_1709,under_consideration,450.0,2030,False,600,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1709"""", """"tyndp2024_invest_id""""=>""""1709""""""",26.112785,35.021,27.101555,31.25977,Atherinolakkos (Crete),Mersa Matruh (Egypt)
TYNDP2024_1707,under_consideration,610.0,2030,False,1400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1707"""", """"tyndp2024_invest_id""""=>""""1707""""""",0.950317,51.917168,7.443237,53.021392,"East Anglia, connection node 400kV Substation","Niederlangen, Germany"
TYNDP2024_1717,under_construction,373.0,2024,False,1000,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1717"""", """"tyndp2024_invest_id""""=>""""1717""""""",23.627266,37.999031,25.02356,35.293159,Damasta,Koumoundouros
TYNDP2024_1793,under_consideration,229.0,2029,False,1200,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1793"""", """"tyndp2024_invest_id""""=>""""1793""""""",12.161865,55.481837,13.582763,54.105441,Solhøjgård (DKE),Bornholm Energy Island (BEI)
TYNDP2024_1945,under_consideration,940.0,2030,False,2000,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1945"""", """"tyndp2024_invest_id""""=>""""1945""""""",8.085938,36.897194,9.953613,44.119142,Annaba (Algeria) - new,La Spezia (Italy)  - existing
TYNDP2024_1946,under_consideration,590.0,2030,False,2000,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1946"""", """"tyndp2024_invest_id""""=>""""1946""""""",9.42627,37.282795,10.700684,42.940339,Marsa Dhib (Tunisia) - New,Suvereto (Italy) - Existing
TYNDP2024_1986,under_consideration,238.0,2030,False,2500,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1986"""", """"tyndp2024_invest_id""""=>""""1986""""""",19.731445,47.219568,21.357422,46.149394,Arad,Albertirsa
TYNDP2024_1987,under_consideration,830.0,2030,False,2500,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1987"""", """"tyndp2024_invest_id""""=>""""1987""""""",21.51123,46.126556,28.509521,44.032321,Arad,Constanta South
TYNDP2024_2003,under_consideration,586.0,2030,False,2500,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/2003"""", """"tyndp2024_invest_id""""=>""""2003""""""",21.434326,46.122749,25.64209,44.465151,Arad,Bucharest South
TYNDP2024_2008,under_consideration,344.0,2030,False,2500,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/2008"""", """"tyndp2024_invest_id""""=>""""2008""""""",25.675049,44.44861,28.526001,44.015657,Bucharest South,Constanta South
