,project_status,length,build_year,underground,v_nom,tags,x0,y0,x1,y1,bus0,bus1
TYNDP2024_1689,in_permitting,215.0,2027,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1689"""", """"tyndp2024_invest_id""""=>""""1689""""""",26.853707,64.603954,25.406632,66.284111,Petäjäskoski,Nuojuankangas
TYNDP2024_1697,in_permitting,175.0,2028,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1697"""", """"tyndp2024_invest_id""""=>""""1697""""""",24.903135,60.890358,25.202761,62.30112,Petäjävesi/Toivila,Hikiä
TYNDP2024_1780,in_permitting,300.0,2028,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1780"""", """"tyndp2024_invest_id""""=>""""1780""""""",24.061181,64.176578,25.184783,62.26907,Jylkkä,Toivila
TYNDP2024_1781,in_permitting,290.0,2030,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1781"""", """"tyndp2024_invest_id""""=>""""1781""""""",26.819749,64.546066,25.191775,62.285796,Nuojuankangas,Petäjävesi
TYNDP2024_1715,in_planning,104.0,2030,False,220,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1715"""", """"tyndp2024_invest_id""""=>""""1715""""""",11.90094,47.232625,10.978088,47.284819,Westtirol (AT),Zell-Ziller (AT)
TYNDP2024_1716,commissioned,179.0,2021,False,150,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1716"""", """"tyndp2024_invest_id""""=>""""1716""""""",23.042999,36.516921,23.98233,35.481473,Chania I,Molai (through Sklavouna Terminal)
TYNDP2024_645,in_permitting,50.0,2029,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/645"""", """"tyndp2024_invest_id""""=>""""645""""""",15.756519,40.177824,15.757892,40.178873,Laino (IT),Altomonte (IT)
TYNDP2024_1727,in_permitting,0.0,2029,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1727"""", """"tyndp2024_invest_id""""=>""""1727""""""",14.776611,41.114085,15.24353,40.293733,Montecorvino (IT),Benevento (IT)
TYNDP2024_1787,in_planning,140.0,2028,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1787"""", """"tyndp2024_invest_id""""=>""""1787""""""",24.285278,40.975751,25.713501,41.120746,Nea Santa,Fillipi
TYNDP2024_1742,in_planning,50.6,2028,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1742"""", """"tyndp2024_invest_id""""=>""""1742""""""",19.717712,46.022714,20.166779,46.296662,SS Subotica 3,SS Sándorfalva
TYNDP2024_1743,in_planning,80.0,2030,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1743"""", """"tyndp2024_invest_id""""=>""""1743""""""",19.176636,45.75411,19.753418,45.525592,SS Sombor 3,SS Novi Sad 3
TYNDP2024_1744,in_planning,60.0,2030,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1744"""", """"tyndp2024_invest_id""""=>""""1744""""""",19.758911,45.529441,19.607849,45.019185,SS Belgrade 50,SS Sremska Mitrovica 2
TYNDP2024_1751,in_permitting,122.0,2026,False,220,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1751"""", """"tyndp2024_invest_id""""=>""""1751""""""",14.452515,35.92242,14.573364,36.835668,In Malta (MT): Maghtab Terminal Station (Maghtab TS),In Italy (IT): Ragusa Terminal Station (Ragusa TS)
TYNDP2024_1752,under_construction,87.0,2026,False,330,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1752"""", """"tyndp2024_invest_id""""=>""""1752""""""",26.93601,58.869066,25.178197,58.923718,Mustvee,Paide
TYNDP2024_1753,under_construction,70.0,2026,False,330,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1753"""", """"tyndp2024_invest_id""""=>""""1753""""""",24.70946,59.234339,25.197742,58.923846,Kiisa,Paide
TYNDP2024_1769,in_planning,66.3,2028,False,330,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1769"""", """"tyndp2024_invest_id""""=>""""1769""""""",25.19928,58.921944,24.863587,58.567263,Paide,Sopi
TYNDP2024_1770,in_planning,28.7,2028,False,330,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1770"""", """"tyndp2024_invest_id""""=>""""1770""""""",24.688263,58.379301,24.851532,58.553272,Sopi,Sindi
TYNDP2024_1771,in_planning,107.8,2029,False,330,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1771"""", """"tyndp2024_invest_id""""=>""""1771""""""",24.688721,59.241915,26.498108,59.444265,Rakvere,Kiisa
TYNDP2024_1774,in_planning,57.7,2030,False,330,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1774"""", """"tyndp2024_invest_id""""=>""""1774""""""",26.513049,59.446245,26.81619,59.424519,Püssi,Rakvere
TYNDP2024_1766,in_permitting,81.5,2028,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1766"""", """"tyndp2024_invest_id""""=>""""1766""""""",13.328407,50.344891,13.209343,50.526349,Hradec,Röhrsdorf
TYNDP2024_1768,in_permitting,1.0,2027,False,380,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1768"""", """"tyndp2024_invest_id""""=>""""1768""""""",7.640991,47.085085,7.553101,46.31279,Bickigen,Chippis
TYNDP2024_1772,commissioned,27.8,2022,False,220,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1772"""", """"tyndp2024_invest_id""""=>""""1772""""""",6.255473,49.990191,6.169955,49.884526,Bauler (DE),Roost (LU)
TYNDP2024_1773,in_planning,20.3,2025,False,220,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1773"""", """"tyndp2024_invest_id""""=>""""1773""""""",6.256722,49.990873,6.528259,49.965181,German Border,Bauler (DE)
TYNDP2024_1805,in_planning,71.0,2030,False,220,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1805"""", """"tyndp2024_invest_id""""=>""""1805""""""",14.17099,47.560209,14.794464,47.323363,Hessenberg (AT),Weißenbach (AT)
TYNDP2024_1860,in_permitting,148.0,2030,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1860"""", """"tyndp2024_invest_id""""=>""""1860""""""",26.339722,47.698672,27.905273,47.743017,Suceava,Balti
TYNDP2024_1983,in_planning,258.8,2030,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1983"""", """"tyndp2024_invest_id""""=>""""1983""""""",23.900757,46.843286,26.339722,47.698672,400kV Suceava (RO),400kV Gadalin (RO)
TYNDP2024_1997,in_planning,65.0,2030,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1997"""", """"tyndp2024_invest_id""""=>""""1997""""""",20.363159,39.436193,21.137695,39.279042,Aracthos,Thesprotia
TYNDP2024_1988,in_planning,170.0,2030,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1988"""", """"tyndp2024_invest_id""""=>""""1988""""""",20.382385,39.43195,19.550171,40.709792,Fier,Thesprotia
TYNDP2024_1947,under_consideration,600.0,2030,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1947"""", """"tyndp2024_invest_id""""=>""""1947""""""",7.976074,36.862043,6.174316,33.008663,Annaba,Tougourt
TYNDP2024_1948,under_consideration,500.0,2030,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1948"""", """"tyndp2024_invest_id""""=>""""1948""""""",9.30542,37.186579,9.975586,33.440609,De Jebil (Tunisia),Marsa Dhib (Tunisia)
TYNDP2024_1974,in_planning,20.0,2030,False,380,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1974"""", """"tyndp2024_invest_id""""=>""""1974""""""",6.061066,49.633752,6.266144,49.715275,Bofferdange,Bertrange
TYNDP2024_2004,in_permitting,73.0,2028,False,220,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/2004"""", """"tyndp2024_invest_id""""=>""""2004""""""",14.180728,47.557825,13.032157,47.300315,Reitdorf (AT),Weißenbach (AT)
TYNDP2024_2007,under_consideration,51.057,2027,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/2007"""", """"tyndp2024_invest_id""""=>""""2007""""""",20.902738,48.099761,19.955916,48.380467,Sajóivánka (HU),Rimavska Sobotá (SK)
TYNDP2024_2017,in_permitting,52.0,2026,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/2017"""", """"tyndp2024_invest_id""""=>""""2017""""""",-697.220764,48.422321,-698.021851,48.595186,Mukacheve (UA),Velké Kapušany (SK)
TYNDP2024_2022,in_planning,130.0,2028,False,400,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/2022"""", """"tyndp2024_invest_id""""=>""""2022""""""",29.421387,45.957624,28.44223,45.234661,Artsyz (UA),Isaccea (RO)
