country,electricity residential space,total residential space,total residential water,electricity residential water,total residential cooking,electricity residential cooking,total residential,electricity residential,derived heat residential,thermal uses residential,total services space,electricity services space,total services water,electricity services water,total services cooking,electricity services cooking,total services,electricity services,derived heat services,thermal uses services,total agriculture electricity,total agriculture heat,total agriculture machinery,total agriculture,total road,electricity road,total two-wheel,total passenger cars,electricity passenger cars,total other road passenger,electricity other road passenger,total light duty road freight,electricity light duty road freight,total heavy duty road freight,total rail,electricity rail,total rail passenger,electricity rail passenger,total rail freight,electricity rail freight,total aviation passenger,total aviation freight,total domestic aviation passenger,total international aviation passenger,total domestic aviation freight,total international aviation freight,total domestic aviation,total international aviation,total domestic navigation,total international navigation
AL,0.5570465743624181,2.868681023831782,0.9246366122728509,0.4701405463928116,0.7560298250278052,0.606309006828873,6.745434890000001,3.8599970000000003,,,0.8492947400612103,0.24188377504306646,0.19063435423096936,0.1082113698760542,0.24955086644902696,0.190340216176473,2.2211439200000003,1.4779985500000001,,,,,,,8.933037890000001,0.0,0.11476078758153294,5.255099996394696,0.0,0.43826272462667554,0.0,1.0066258503715193,0.0,2.1182885310255757,0.03566921000000001,0.0,0.026867054339929548,0.0,0.008802155660070457,0.0,0.23558664812723476,0.015249191872765277,0.0,0.23558664812723476,0.0,0.015249191872765277,0.0,0.25083584000000003,0.38266189000000006,0.23777535000000002
AT,3.8347980364339187,52.728795606720304,9.042762942245817,1.6580654856850694,3.332605848035772,2.2140159394525,74.4128059879979,17.31873449075142,8.985794565462129,65.16773835369318,17.423168106040677,1.362361756513761,3.4703813442929237,0.2967617406747894,3.4964403032216045,2.3458829314999434,33.49193062767192,13.244905252570849,9.882817057376736,24.839638062603143,0.6497150410629878,3.8719030223442585,1.7388785775882416,6.260496640995489,88.04632651098169,0.035087453918020005,0.6026064240302123,47.145477443307264,0.010621583280449667,3.067508471104808,0.02013826679946008,5.385434496257479,0.003947974868709491,31.84529967628193,3.384639661479662,2.8930267787407162,2.332832737694036,1.971964325107237,1.0518069237856262,0.9210624536334792,7.604475261435951,0.3130344308815537,0.26550445600104483,7.338970805434905,0.07206205482497326,0.24097237605658042,0.3375665108260181,7.579943181491485,0.058055683482739553,0.23600759000000002
BA,0.9551423259051094,8.062615381913417,2.2035460750967655,0.8061285279384439,1.4999498844734496,1.039610369496632,15.49027994803239,6.61856060561295,,,2.075880307094079,0.37511972750507755,0.3986027383060623,0.16781704177400622,0.46097540282364163,0.2951846191943365,4.372938190104563,2.2921190692934506,,,,,,,10.403943245213432,0.0,0.1336571875633523,6.120399665114565,0.0,0.5104266398122862,0.0,1.172375886612297,0.0,2.4670838661109293,0.2691038049081697,0.22364645608190642,0.20269657078330564,0.1718117268416388,0.06640723412486403,0.051834729240267635,0.22862718311632196,0.01479871550610001,0.0,0.22862718311632196,0.0,0.01479871550610001,0.0,0.24342589862242198,0.05081711523682938,0.0511435984699603
BE,2.815051564451901,72.00315684834005,14.758606504598777,1.9245397162358575,5.61762658049057,2.123765047409,104.53126486079485,19.81013300307489,0.048333322074790706,92.47214768445166,35.55025666623682,6.159088599308961,4.553234776118736,1.3005782934779981,4.296286602056132,1.7511206036264235,57.027872149578414,22.25434577090179,0.7699977716616743,45.32121766089195,1.2652057097802312,6.510654609861979,2.1504989713552063,9.926359290997418,93.22107248215386,0.01074409225014649,0.6477429921079886,54.179087820705185,0.006636212751625691,3.954966803176898,0.001991249371656604,10.47276574878302,0.0015859584461520306,23.966509117380756,2.2359228430787947,1.596953398545387,1.7366935264699335,1.306970119159899,0.4992293166088615,0.2899832793854877,11.903404936264774,2.9443700871166114,0.0,11.903404936264774,0.5794491728255937,2.3649209142910177,0.5794491728255937,14.268325850555792,1.822780948768488,71.59805975
BG,1.0366899653005102,13.774445984268725,5.032599359348841,2.50096431277225,2.8263907739201346,2.446346362124563,26.126347522623533,10.536998125106878,3.70225381151711,21.738366989691684,3.6161635069149147,1.317290338927257,1.4876301353881975,0.8459255010716765,1.614166101394505,1.2802729496644545,11.214107236902933,7.954580847599141,1.1947324162166162,7.013424737247175,0.2157562658354375,1.238388279337861,0.8037223126895519,2.257866857862851,27.913508544418903,0.05240401618919764,0.2678003482560851,18.16930433603284,0.0,2.6753054767672606,0.05240401618919764,1.723251062925399,0.0,5.077847320437322,0.36999955326892575,0.19499962550233102,0.2595248907228583,0.1337123426290272,0.11047466254606741,0.06128728287330383,1.9735489165680373,0.0214510834319626,0.06685311111111157,1.9066958054569259,0.01455716249528969,0.0068939209366729115,0.08141027360640127,1.9135897263935986,0.0,1.0494446800000001
CH,4.388888888888889,51.52777777777778,8.944444444444445,2.388888888888889,2.611111111111111,1.3611111111111112,72.58333333333333,18.777777777777775,,,21.5,1.1666666666666667,2.8055555555555554,0.19444444444444442,0.6388888888888888,0.6388888888888888,40.0,17.055555555555554,,,,,,,55.888888888888886,0.0,0.7179923543283743,32.87814329403942,0.0,2.7419582254567123,0.0,6.297879959411784,0.0,13.25291505565259,3.1666666666666665,3.1666666666666665,2.3852225886072858,2.432725641458858,0.7814440780593807,0.7339410252078085,17.617703597787695,1.1600741799900811,0.8685212443581152,16.749182353429582,0.07592320008632922,1.0841509799037519,0.9444444444444444,17.833333333333332,0.4444444444444445,0.0
CZ,2.5725233632931075,62.57273499598758,10.288206369245467,2.9111285854172344,5.349291874222479,2.9169812116183698,83.99741666322201,14.715973413943496,13.888879856159699,78.24427707959727,20.246784369915833,4.388583048588386,3.0235451499346557,0.9434718391306539,3.505353453229548,1.7737748387302745,34.29840057384516,14.78664045488378,5.310847457419239,27.053057440415177,0.6941273932306512,4.054135056204236,2.4003802728676513,7.148642722302538,63.503988188281525,0.08911029892052649,0.6865202837197137,30.92628881993422,0.0007819669138069432,3.866800834894914,0.08831777854219773,5.7476679804286555,0.0,22.276710269304015,2.5098763617700213,1.491101348077621,1.957212181581117,1.1043425069361408,0.5526641801889038,0.38675884114148024,3.4758788630067836,0.048572629407252134,0.056765346606964515,3.419113516399819,0.019945792240296925,0.028626837166955205,0.07671113884726144,3.447740353566774,0.023888852908381327,0.0
DE,23.552538648485736,482.88953556791756,88.86181482888813,9.341725122373857,41.094774831600795,14.516493828941883,694.2861367421355,136.00002715231648,51.24612134236524,614.0643012925772,200.1083899771467,8.177528100639465,38.567939444757855,8.148137272139993,48.02923585230634,20.88733594674748,388.35703665770825,141.5218730593723,16.87389225775031,291.39267527735336,7.53469558411125,5.474391021838289,1.4190403036639783,14.42812690961352,600.5438784206764,0.11224182554399796,5.370903791988889,380.78585774165197,0.0804737905883431,18.892615204428267,0.014714641214532026,28.660484589683342,0.015353321394055243,166.83401709292394,15.93416884756733,11.885002372832927,11.472824304223883,8.279888081535278,4.461344543343446,3.605114291297649,91.38069880171732,13.41045647623245,7.896669996323121,83.4840288053942,2.19924733222008,11.211209144012372,10.095917328543202,94.69523794940658,3.3722220527550077,26.697188350000005
DK,0.7013376012077638,33.93012445800281,7.368540509780002,0.5229211600849933,3.1224115802390884,2.437647648641987,50.639691342206994,10.307073119763176,19.141944444444412,44.46958545008379,11.568860496650082,0.7165794765906534,1.9268567416141313,0.4139126319754398,2.107350856421504,1.6568129470533832,22.96597151274313,10.221030677425023,8.886388888888847,15.964433033531657,1.6065828331780032,4.6006732485303825,2.958335976083448,9.165592057791836,42.126010180586306,0.006041443591563428,0.26907068768936326,23.38606046077933,0.005426936489976022,3.9158027200781587,0.0,5.764536143667914,0.0006145071015874062,8.79054016837154,1.3112062796097734,0.3861092120959323,1.201322441895927,0.35393692637112534,0.10988383771384651,0.03217228572480684,10.062240435459456,0.3052602112787246,0.5934322985915401,9.468808136867919,0.10206631066816502,0.20319390061055956,0.6954986092597052,9.672002037478478,1.978361573681062,7.339855820000001
EE,0.11231606763657928,7.615319503233344,1.5105449935831652,0.06137687617864419,0.7305183637351055,0.6392485833424982,10.871312066259437,1.8649831545295248,3.8389405197191633,9.856556620105813,2.8051300129906593,0.7294467788998327,0.3759461883671719,0.16897479263456983,0.43229161868604543,0.3654118725947719,4.8619944419222145,2.5288861940995093,1.1860593158990447,3.6224949714927197,0.17269894009588554,0.7062927576664825,0.4019989426098384,1.2809906403722064,8.143920002436563,0.02196621718242599,0.02187321389494755,5.041673827103431,0.0035133698706650515,0.9394047336082759,0.018423149598824944,0.6543028641167076,2.969771293599253e-05,1.4866653637132001,0.3473335032636153,0.04203126411907797,0.08800246779439479,0.04203126411907797,0.2593310354692205,0.0,0.32494722922299063,0.009489420040482168,0.0,0.32494722922299063,0.0036550739486526196,0.005834346091829548,0.0036550739486526196,0.33078157531482016,0.04694670715427129,4.740620600000001
