,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,Status
97,Katowice,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,50.2649,19.0238,,,,,,G100000501239,announced
98,Katowice,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,50.2649,19.0238,,,,,,G100000501238,announced
99,Kghm Nuscale Voygr Modular,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,52.3210375,17.2786248,,,,,,G100001009044,announced
100,Kghm Nuscale Voygr Modular,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,52.3210375,17.2786248,,,,,,G100001009045,announced
101,Kghm Nuscale Voygr Modular,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,52.3210375,17.2786248,,,,,,G100001009041,announced
102,Kghm Nuscale Voygr Modular,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,52.3210375,17.2786248,,,,,,G100001009042,announced
103,Kghm Nuscale Voygr Modular,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,52.3210375,17.2786248,,,,,,G100001009043,announced
104,Kghm Nuscale Voygr Modular,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,52.3210375,17.2786248,,,,,,G100001009040,announced
111,Kozloduy,Nuclear,Steam Turbine,PP,Bulgaria,1000.0,,2033.0,,,43.7497,23.7685,,,,,,G100000500717,pre-construction
112,Kozloduy,Nuclear,Steam Turbine,PP,Bulgaria,0.0,,2045.0,,,43.7497,23.7685,,,,,,G100000500192,operating
113,Kozloduy,Nuclear,Steam Turbine,PP,Bulgaria,1000.0,,2036.0,,,43.7497,23.7685,,,,,,G100000500718,pre-construction
114,Kozloduy,Nuclear,Steam Turbine,PP,Bulgaria,1040.0,,1993.0,,,43.7497,23.7685,,,,,,G100000500191,operating
115,Krsko,Nuclear,Steam Turbine,PP,Slovenia,0.0,,2045.0,,,45.9389,15.51601,,,,,,G100000500381,announced
116,Krsko,Nuclear,Steam Turbine,PP,Slovenia,0.0,,2045.0,,2043.0,45.9389,15.51601,,,,,,G100000500380,operating
117,Leibstadt,Nuclear,Steam Turbine,PP,Switzerland,0.0,,2045.0,,,47.6012,8.1845,,,,,,G100000500087,operating
118,Loviisa,Nuclear,Steam Turbine,PP,Finland,0.0,,2045.0,,2050.0,60.3708,26.3468,,,,,,G100000500449,operating
119,Loviisa,Nuclear,Steam Turbine,PP,Finland,0.0,,2045.0,,2050.0,60.3708,26.3468,,,,,,G100000500448,operating
120,Lubiatowo Kopalino,Nuclear,Steam Turbine,PP,Poland,1250.0,,2037.0,,,54.8036,17.7881,,,,,,G100000500840,pre-construction
121,Lubiatowo Kopalino,Nuclear,Steam Turbine,PP,Poland,1250.0,,2035.0,,,54.8036,17.7881,,,,,,G100000500839,pre-construction
122,Lubiatowo Kopalino,Nuclear,Steam Turbine,PP,Poland,1250.0,,2032.0,,,54.8036,17.7881,,,,,,G100000500838,pre-construction
123,Mochovce,Nuclear,Steam Turbine,PP,Slovakia,500.0,,2000.0,,,48.2572,18.4553,,,,,,G100000500462,operating
124,Mochovce,Nuclear,Steam Turbine,PP,Slovakia,471.0,,2023.0,,,48.2572,18.4553,,,,,,G100000500490,operating
125,Mochovce,Nuclear,Steam Turbine,PP,Slovakia,500.0,,1998.0,,,48.2572,18.4553,,,,,,G100000500461,operating
126,Mochovce,Nuclear,Steam Turbine,PP,Slovakia,471.0,,2025.0,,,48.2572,18.4553,,,,,,G100000500491,construction
127,Moorside Clean Energy Hub,Nuclear,Steam Turbine,PP,United Kingdom,0.0,,2045.0,,,54.4296,-3.5109,,,,,,G100000501316,announced
128,Moorside Clean Energy Hub,Nuclear,Steam Turbine,PP,United Kingdom,0.0,,2045.0,,,54.4296,-3.5109,,,,,,G100000501317,announced
