 ,Unit,Values,Description
hotmaps_industrial_sites,,,
-- source,str,"{archive, primary}","Source of the Hotmaps industrial sites data."
-- version,str,,"Version of the Hotmaps industrial sites data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
enspreso_biomass,,,
-- source,str,"{archive, primary}","Source of the Enspreso biomass data."
-- version,str,,"Version of the Enspreso biomass data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
osm,,,
-- source,str,"{archive, build}","Source of the OSM data. 'archive' retrieves pre-built OSM data, 'build' uses the latest OSM data to build the network."
-- version,str,,"Version of the OSM data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
worldbank_urban_population,,,
-- source,str,"{archive, primary}","Source of the World Bank urban population data."
-- version,str,,"Version of the World Bank urban population data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
gem_europe_gas_tracker,,,
-- source,str,"{archive, primary}","Source of the GEM Europe Gas Tracker data."
-- version,str,,"Version of the GEM Europe Gas Tracker data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
co2stop,,,
-- source,str,"{archive, primary}","Source of the CO2Stop data."
-- version,str,,"Version of the CO2Stop data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
nitrogen_statistics,,,
-- source,str,"{archive, primary}","Source of the Nitrogen Statistics data."
-- version,str,,"Version of the Nitrogen Statistics data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
eu_nuts2013,,,
-- source,str,"{archive, primary}","Source of the EU NUTS 2013 data."
-- version,str,,"Version of the EU NUTS 2013 data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
eu_nuts2021,,,
-- source,str,"{archive, primary}","Source of the EU NUTS 2021 data."
-- version,str,,"Version of the EU NUTS 2021 data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
eurostat_balances,,,
-- source,str,"{archive, primary}","Source of the Eurostat balances data."
-- version,str,,"Version of the Eurostat balances data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
eurostat_household_balances,,,
-- source,str,"{archive, primary}","Source of the Eurostat household balances data."
-- version,str,,"Version of the Eurostat household balances data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
wdpa,,,
-- source,str,"{archive, primary}","Source of the WDPA data."
-- version,str,,"Version of the WDPA data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
wdpa_marine,,,
-- source,str,"{archive, primary}","Source of the WDPA Marine data."
-- version,str,,"Version of the WDPA Marine data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
luisa_land_cover,,,
-- source,str,"{archive, primary}","Source of the LUISA land cover data."
-- version,str,,"Version of the LUISA land cover data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
jrc_idees,,,
-- source,str,"{archive, primary}","Source of the JRC IDEES data."
-- version,str,,"Version of the JRC IDEES data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
scigrid_gas,,,
-- source,str,"{primary, archive}","Source of the SciGRID Gas data."
-- version,str,,"Version of the SciGRID Gas data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
synthetic_electricity_demand,,,
-- source,str,"{primary, archive}","Source of the Synthetic Electricity Demand data."
-- version,str,,"Version of the Synthetic Electricity Demand data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
copernicus_land_cover,,,
-- source,str,"{primary, archive}","Source of the Copernicus Land Cover data."
-- version,str,,"Version of the Copernicus Land Cover data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
ship_raster,,,
-- source,str,"{archive, primary}","Source of the Ship Raster data."
-- version,str,,"Version of the Ship Raster data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
eez,,,
-- source,str,"{archive, primary}","Source of the EEZ data."
-- version,str,,"Version of the EEZ data to use. Uses the specific 'version' for the selected 'source' or the dataset tagged 'latest' for this source."
nuts3_population,,,
-- source,str,"{archive, primary}","Source of the NUTS3 population data."
