id,name,source_id,node_id,lat,long,country_code,is_bothDirection,lat_mean,length_km,long_mean,max_pressure_bar,num_compressor,start_year,Capacity_GWh_h,diameter_mm
INET_PL_376_EE_6,MEGAL_Nord_Loop_16,['INET_PL_376'],"['INET_N_972', 'INET_N_1069']","[49.376405, 49.11]","[7.567024, 7.22]","['DE', 'DE']",0.0,49.243202499999995,38.89833129123257,7.393511999999999,80.0,0.0,1980.0,24.97463216527778,1100.0
INET_PL_384_EE_2,MEGAL_Sued_1_12,['INET_PL_384'],"['INET_N_1626', 'INET_N_1624']","[48.944, 48.573853]","[12.7594, 13.721864]","['DE', 'DE']",0.0,48.7589265,81.70407517247548,13.240632,67.5,0.0,1980.0,24.97463216527778,800.0
INET_PL_384_EE_3,MEGAL_Sued_1_13,['INET_PL_384'],"['INET_N_1624', 'INET_N_1071']","[48.573853, 48.55443]","[13.721864, 13.751863]","['DE', 'AT']",0.0,48.564141500000005,3.0892782935626375,13.7368635,67.5,0.0,1980.0,24.97463216527778,800.0
INET_PL_408_EE_0,MIDAL_10,['INET_PL_408'],"['INET_N_799', 'INET_N_1276']","[53.36059, 53.37944]","[7.065929, 7.034]","['DE', 'DE']",0.0,53.370015,2.98095018476096,7.0499645,73.15164319219387,3.0,1993.0,14.530693773148144,800.0
INET_PL_408_EE_1,MIDAL_11,['INET_PL_408'],"['INET_N_1276', 'INET_N_240']","[53.37944, 53.205843]","[7.034, 7.229683]","['DE', 'DE']",0.0,53.2926415,23.283119069624423,7.1318415,70.1877892952991,3.0,1993.0,14.530693773148144,800.0
INET_PL_408_EE_2,MIDAL_12,['INET_PL_408'],"['INET_N_240', 'INET_N_575']","[53.205843, 53.17]","[7.229683, 7.39]","['DE', 'DE']",0.0,53.1879215,11.404382347448239,7.309841499999999,70.1877892952991,3.0,1993.0,14.530693773148144,800.0
INET_PL_408_EE_6,MIDAL_16,['INET_PL_408'],"['INET_N_870', 'INET_N_1215']","[52.05857, 50.785275]","[8.699208, 9.788964]","['DE', 'DE']",0.0,51.4219225,160.53174440614015,9.244086,70.1877892952991,3.0,1993.0,14.530693773148144,800.0
INET_PL_484,Nordschwarzwaldleitung,['INET_PL_484'],"['INET_N_850', 'INET_N_82']","[48.799, 48.953]","[9.01, 8.24]","['DE', 'DE']",0.0,48.876000000000005,58.875815304293255,8.625,80.0,0.0,2016.0,4.589900761271087,600.0
INET_PL_492_EE_0,OPAL_Nord_10,['INET_PL_492'],"['INET_N_889', 'INET_N_741']","[54.151055, 52.4483075]","[13.655607, 13.9567212]","['DE', 'DE']",0.0,53.29968125,190.45059904872093,13.8061641,100.0,0.0,2011.0,41.43518518518518,1400.0
INET_PL_492_EE_1,OPAL_Nord_11,['INET_PL_492'],"['INET_N_741', 'INET_N_1199']","[52.4483075, 52.07784]","[13.9567212, 13.539383]","['DE', 'DE']",0.0,52.263073750000004,50.05184857784196,13.7480521,100.0,0.0,2011.0,41.43518518518518,1400.0
INET_PL_495_EE_0,OPAL_Sued0,['INET_PL_495'],"['INET_N_1199', 'INET_N_1605']","[52.07784, 51.766]","[13.539383, 13.685]","['DE', 'DE']",0.0,51.92192,36.09564473618733,13.612191500000002,100.0,0.0,2011.0,41.43518518518518,1400.0
INET_PL_495_EE_1,OPAL_Sued1,['INET_PL_495'],"['INET_N_1605', 'INET_N_1077']","[51.766, 50.645421]","[13.685, 13.359861]","['DE', 'DE']",0.0,51.205710499999995,126.68422453467142,13.5224305,100.0,0.0,2011.0,41.43518518518518,1400.0
INET_PL_523_EE_0,PENTA_West0,['INET_PL_523'],"['INET_N_241', 'INET_N_1230']","[48.1835, 48.21]","[12.8531, 13.48]","['DE', 'AT']",0.0,48.19675,46.57348382673931,13.16655,70.0,0.0,1983.0,12.497733333333334,700.0
INET_PL_627_EE_0,STEGAL0,['INET_PL_627'],"['INET_N_209', 'INET_N_1077']","[50.635, 50.645421]","[13.39, 13.359861]","['CZ', 'DE']",0.0,50.640210499999995,2.421477136952263,13.374930500000001,70.1877892952991,3.0,1993.0,3.0083333333333333,800.0
INET_PL_627_EE_4,STEGAL4,['INET_PL_627'],"['INET_N_421', 'INET_N_1635']","[50.902646, 51.006]","[11.006814, 10.49]","['DE', 'DE']",0.0,50.954323,37.993066798087725,10.748407,70.1877892952991,3.0,1993.0,11.10023465003349,800.0
INET_PL_634_EE_0,STEGAL_Loop0,['INET_PL_634'],"['INET_N_1635', 'INET_N_421']","[51.006, 50.902646]","[10.49, 11.006814]","['DE', 'DE']",0.0,50.954323,37.993066798087725,10.748407,76.85775631654093,0.0,2006.0,3.9777777777777774,1000.0
INET_PL_634_EE_1,STEGAL_Loop1,['INET_PL_634'],"['INET_N_421', 'INET_N_396']","[50.902646, 50.856735]","[11.006814, 11.553175]","['DE', 'DE']",0.0,50.879690499999995,38.6823881606467,11.2799945,76.85775631654093,0.0,2006.0,3.9777777777777774,1000.0
INET_PL_639,Stolberg_Eynatten,['INET_PL_639'],"['INET_N_477', 'INET_N_1428']","[50.7, 50.786035]","[6.09, 6.177002]","['BE', 'DE']",1.0,50.7430175,11.361272968286855,6.133501,100.0,0.0,2018.0,5.508333333333333,700.0
INET_PL_677_EE_0,TENP0,['INET_PL_677'],"['INET_N_1597', 'INET_N_644']","[47.566, 47.835122]","[7.9, 7.596259]","['DE', 'DE']",1.0,47.700561,37.590663140442956,7.7481295,73.52277280592001,0.0,1975.0,17.595741435185182,900.0
INET_PL_677_EE_1,TENP1,['INET_PL_677'],"['INET_N_644', 'INET_N_1336']","[47.835122, 48.727117]","[7.596259, 8.055866]","['DE', 'DE']",1.0,48.2811195,104.88652707919337,7.8260625,73.52277280592001,0.0,1975.0,17.595741435185182,900.0
INET_PL_677_EE_2,TENP2,['INET_PL_677'],"['INET_N_1336', 'INET_N_82']","[48.727117, 48.953]","[8.055866, 8.24]","['DE', 'DE']",1.0,48.8400585,28.512634917252566,8.147933,73.52277280592001,0.0,1975.0,17.595741435185182,900.0
INET_PL_677_EE_4,TENP4,['INET_PL_677'],"['INET_N_973', 'INET_N_1428']","[49.374422, 50.786035]","[7.563924, 6.177002]","['DE', 'DE']",1.0,50.080228500000004,185.60824901788524,6.870463,73.52277280592001,0.0,1975.0,17.595741435185182,900.0
INET_PL_677_EE_5,TENP5,['INET_PL_677'],"['INET_N_1428', 'INET_N_186']","[50.786035, 50.817365]","[6.177002, 6.021767]","['DE', 'NL']",1.0,50.8017,11.455613347313404,6.099384499999999,73.52277280592001,0.0,1975.0,17.595741435185182,900.0
INET_PL_684_EE_0,TENP_Loop0,['INET_PL_684'],"['INET_N_1597', 'INET_N_644']","[47.566, 47.835122]","[7.9, 7.596259]","['DE', 'DE']",1.0,47.700561,37.590663140442956,7.7481295,73.52277280592001,0.0,2006.0,13.2475,900.0
INET_PL_684_EE_1,TENP_Loop1,['INET_PL_684'],"['INET_N_644', 'INET_N_1336']","[47.835122, 48.727117]","[7.596259, 8.055866]","['DE', 'DE']",1.0,48.2811195,104.88652707919337,7.8260625,73.52277280592001,0.0,2006.0,0.3666666666666667,900.0
INET_PL_684_EE_2,TENP_Loop2,['INET_PL_684'],"['INET_N_1336', 'INET_N_82']","[48.727117, 48.953]","[8.055866, 8.24]","['DE', 'DE']",1.0,48.8400585,28.512634917252566,8.147933,73.52277280592001,0.0,2006.0,15.052937368210664,900.0
INET_PL_684_EE_3,TENP_Loop3,['INET_PL_684'],"['INET_N_82', 'INET_N_973']","[48.953, 49.374422]","[8.24, 7.563924]","['DE', 'DE']",1.0,49.163711000000006,67.93501328112788,7.901962,73.52277280592001,0.0,2006.0,25.2375,900.0
INET_PL_684_EE_4,TENP_Loop4,['INET_PL_684'],"['INET_N_973', 'INET_N_1428']","[49.374422, 50.786035]","[7.563924, 6.177002]","['DE', 'DE']",1.0,50.080228500000004,185.60824901788524,6.870463,73.52277280592001,0.0,2006.0,11.179166666666667,900.0
INET_PL_684_EE_5,TENP_Loop5,['INET_PL_684'],"['INET_N_1428', 'INET_N_186']","[50.786035, 50.817365]","[6.177002, 6.021767]","['DE', 'NL']",1.0,50.8017,11.455613347313404,6.099384499999999,73.52277280592001,0.0,2006.0,16.491666666666667,900.0
INET_PL_703_EE_0,Transgas_10,['INET_PL_703'],"['INET_N_1595', 'INET_N_1263']","[49.644, 49.663384]","[12.496, 12.549857]","['DE', 'CZ']",0.0,49.653692,4.437318996594529,12.522928499999999,73.52277280592001,0.0,1983.0,37.7875,900.0
INET_PL_724_EE_2,Transitgas_12,['INET_PL_724'],"['INET_N_1597', 'INET_N_885']","[47.566, 47.386]","[7.9, 7.946]","['DE', 'CH']",0.0,47.476,20.317848133646848,7.923,67.5,0.0,2002.0,13.2475,1200.0
