id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
EMAP_PS_0;PLS_BA_17_Seg_1;['EMAP_PS_0'];['EMAP_N_305', 'EMAP_N_306'];[44.4136527292458, 44.45136813940324, 44.48928234131377, 44.528737155568386, 44.565150222659305];[19.065877533182928, 19.088107893849056, 19.09341206814624, 19.098028794728513, 19.11862355313833];['BA', 'BA'];None;{'length_km': 17.5603456070656, 'pipe_class_EMap': 'S', 'exact': 3};{'length_km': 0.2, 'pipe_class_EMap': 0, 'exact': 0};{'length_km': 'fill_length(PipeSegments)', 'pipe_class_EMap': 'make_Attrib(const)', 'exact': 'make_Attrib(const)'};{}
EMAP_PS_1;NSG_DE_2_Seg_2;['EMAP_PS_1'];['EMAP_N_307', 'EMAP_N_308'];[53.44471423126258, 53.46542315698512, 53.4951598483096, 53.51418290224382, 53.52836615931961, 53.54213640176001, 53.5595926871977];[7.045537387494311, 7.065152515805967, 7.114838630688127, 7.146936220911391, 7.168666500418973, 7.194786389765474, 7.225405384202987];['DE', 'DE'];None;{'length_km': 17.553058803251353, 'exact': 3};{'length_km': 0.14285714285714285, 'exact': 0};{'length_km': 'fill_length(PipeSegments)', 'exact': 'make_Attrib(const)'};{}
EMAP_PS_2;NSG_DE_2_Seg_8;['EMAP_PS_2'];['EMAP_N_308', 'EMAP_N_35'];[53.5595926871977, 53.57709614761477, 53.58673553328656, 53.614535607151915, 53.63903602299449, 53.664483992810105, 53.65460902254439, 53.63633085128462, 53.611602208102525];[7.225405384202987, 7.260862349599158, 7.283935001423872, 7.339492235237112, 7.389956517866559, 7.448208309809523, 7.417832784052466, 7.3865201122708015, 7.335847964867066];['DE', 'DE'];None;{'length_km': 28.288357382306096, 'exact': 3};{'length_km': 0.1111111111111111, 'exact': 0};{'length_km': 'fill_length(PipeSegments)', 'exact': 'make_Attrib(const)'};{}
EMAP_PS_3;NSG_DE_2_Seg_8;['EMAP_PS_3'];['EMAP_N_35', 'EMAP_N_309'];[53.611602208102525, 53.58645961924137];[7.335847964867066, 7.28358715454708];['DE', 'DE'];None;{'length_km': 4.440804438343682, 'exact': 3};{'length_km': 0.5, 'exact': 0};{'length_km': 'fill_length(PipeSegments)', 'exact': 'make_Attrib(const)'};{}
EMAP_PS_4;NSG_22_76_Seg_5;['EMAP_PS_4'];['EMAP_N_309', 'EMAP_N_308'];[53.58645961924137, 53.5595926871977];[7.28358715454708, 7.225405384202986];['DE', 'DE'];None;{'length_km': 4.868018163750058, 'exact': 3};{'length_km': 0.5, 'exact': 0};{'length_km': 'fill_length(PipeSegments)', 'exact': 'make_Attrib(const)'};{}
EMAP_PS_5;NSG_22_76_Seg_6;['EMAP_PS_5'];['EMAP_N_308', 'EMAP_N_307'];[53.5595926871977, 53.54045107509164, 53.52819798345948, 53.50817427763996, 53.49381691801969, 53.463740983518775, 53.44138748302495, 53.41739478072223, 53.44471423126258];[7.225405384202986, 7.192682046685331, 7.1678787400722825, 7.139171705720932, 7.111998361804442, 7.061601934127692, 7.044181759180665, 7.030645588161347, 7.045537387494311];['DE', 'DE'];None;{'length_km': 23.974033369804825, 'exact': 3};{'length_km': 0.1111111111111111, 'exact': 0};{'length_km': 'fill_length(PipeSegments)', 'exact': 'make_Attrib(const)'};{}
EMAP_PS_6;PLL_DE_0_Seg_1;['EMAP_PS_6'];['EMAP_N_310', 'EMAP_N_311'];[47.65983538551126, 47.580491346054494, 47.56490180760636];[7.7954123220327105, 7.795172904976509, 7.836643197199992];['DE', 'DE'];None;{'length_km': 12.387938318709809, 'pipe_class_EMap': 'L', 'exact': 3};{'length_km': 0.3333333333333333, 'pipe_class_EMap': 0, 'exact': 0};{'length_km': 'fill_length(PipeSegments)', 'pipe_class_EMap': 'make_Attrib(const)', 'exact': 'make_Attrib(const)'};{}
EMAP_PS_7;PLL_DE_0_Seg_2;['EMAP_PS_7'];['EMAP_N_311', 'EMAP_N_312'];[47.56490180760636, 47.558027849899176];[7.836643197199992, 7.872731041295368];['DE', 'DE'];None;{'length_km': 2.814517029530453, 'pipe_class_EMap': 'L', 'exact': 3};{'length_km': 0.5, 'pipe_class_EMap': 0, 'exact': 0};{'length_km': 'fill_length(PipeSegments)', 'pipe_class_EMap': 'make_Attrib(const)', 'exact': 'make_Attrib(const)'};{}
EMAP_PS_8;PLL_DE_14_Seg_1;['EMAP_PS_8'];['EMAP_N_313', 'EMAP_N_314'];[49.12206113395159, 49.12647688229029, 49.131612523227815, 49.124895758876995, 49.11882757516352, 49.30951662795899];[7.161309836936008, 7.198592903274752, 7.230189696658306, 7.2614933278503155, 7.293307763951509, 7.447237147607466];['DE', 'DE'];None;{'length_km': 33.91612839021697, 'pipe_class_EMap': 'L', 'exact': 3};{'length_km': 0.16666666666666666, 'pipe_class_EMap': 0, 'exact': 0};{'length_km': 'fill_length(PipeSegments)', 'pipe_class_EMap': 'make_Attrib(const)', 'exact': 'make_Attrib(const)'};{}
EMAP_PS_9;PLL_DE_34_Seg_3;['EMAP_PS_9'];['EMAP_N_315', 'EMAP_N_316'];[50.76073672960294, 50.78431160557245, 50.804353559870314];[6.102864850415661, 6.062001250188329, 6.020100684125302];['DE', 'DE'];None;{'length_km': 7.585189949450129, 'pipe_class_EMap': 'L', 'exact': 3};{'length_km': 0.3333333333333333, 'pipe_class_EMap': 0, 'exact': 0};{'length_km': 'fill_length(PipeSegments)', 'pipe_class_EMap': 'make_Attrib(const)', 'exact': 'make_Attrib(const)'};{}
